,LocationType,Type,Name,Address,City,Latitude,Longitude
19,Branch,KK,KK Kantor Kas Tanah Abang Blok A Lantai G,"Tanah Abang Blok A Lt. GF/F/065 dan GF/F/067, Tanah Abang",Jakarta Pusat,-6.18797,106.814334
20,Branch,KK,KK Kantor Kas TNB G,Tanah Abang Blok B G/H 001 & 002,Jakarta Pusat,-6.18797,106.814334
21,Branch,KK,KK Kantor Kas TNB L1,Tanah Abang Blok B 01/G078 & 087,Jakarta Pusat,-6.18797,106.814334
22,Branch,KCP,KCP Tanah Abang Zona 3,"Gedung Tanah Abang Zona III Lantai 3A L03A, Jl. KH. Fachrudin, Tanah Abang",Jakarta Pusat,-6.18659,106.81515
23,Branch,KCP,KCP MD Tower,Jl. Setiabudi Selatan No. 7,Jakarta Selatan,-6.208167,106.828396
24,Branch,KCP,KCP Pasar Tanah Abang,Jl. KH Fachrudin 36 Blok D/23,Jakarta Pusat,-6.185926,106.815121
25,Branch,KCP,KCP Penjernihan,Jl. Penjernihan I No. 23,Jakarta Pusat,-6.201069,106.80976
26,Branch,KCU,KCU SUDIRMAN,"Gedung Chase Plaza, Jl. Jend. Sudirman Kav. 21",Jakarta Selatan,-6.21041,106.821642
27,Branch,KCP,KCP Sahid Sudirman Residence,"The Office Sahid Sudirman Residence Lt. LG Unit 01, Jl. Jend. Sudirman No. 86",Jakarta Pusat,-6.210522,106.819205
28,Branch,KCP,KCP Gondangdia Lama,Jl. R.P. Soeroso No. 25,Jakarta Pusat,-6.191423,106.836229
29,Branch,KCP,KCP Sahid Sudirman Center,Sahid Sudirman Center Lantai Dasar Suite A Jl. Jend. Sudirman No. 86,Jakarta Pusat,-6.21086,106.81859
30,Branch,KCP,KCP City Center,"Kawasan Terpadu The City Center, Gedung Perkantoran Tower One, Ground Floor, Jl. KH.Mas Mansyur Kav. 126, Jakarta",Jakarta Pusat,-6.210999,106.81637
31,Branch,KCP,KCP Millennium Centennial,"Gedung Millennium Centennial Ground Floor Unit C, Jl. Jend. Sudirman Kav. 25, Jakarta",Jakarta Selatan,-6.2122,106.820506
32,Branch,KCP,KCP Menara Imperium,Jl. HR Rasuna Said Kav. 01,Jakarta Selatan,-6.210149,106.831541
33,Branch,KCP,KCP Kebon Sirih,"Plaza Pupuk Kaltim, Gedung B Lantai 1, Jl. Kebon Sirih No. 6A",Jakarta Pusat,-6.182471,106.831584
34,Branch,KCP,KCP Grha Surya,Jl. Setiabudi Selatan I Kav. 9,Jakarta Selatan,-6.212858,106.828948
35,Branch,KCP,KCP Sentral Cikini,Jl. Pegangsaan Timur No. 1 Menteng,Jakarta Pusat,-6.196977,106.840602
36,Branch,KCP,KCP WTC Sudirman,"World Trade Center I Sudirman, Jl. Jend. Sudirman Kav. 29",Jakarta Selatan,-6.214829,106.820051
37,Branch,KK,KK Kantor Kas Cikini Gold Center,"Jl. Pegangsaan Timur, Menteng Gedung Cikini Gold Center LGF/A/AKS032",Jakarta Pusat,-6.198229,106.841595
38,Branch,KCP,KCP Setiabudi Atrium,"Plaza Setiabudi, Gd.Setiabudi Atrium Lt.1 Suite 101 A, Jl.HR.Rasuna Said Kav.62, Kuningan",Jakarta Selatan,-6.214389,106.830081
39,Branch,KCP,KCP Benhil,Jl. Bendungan Hilir Raya No. 44/I,Jakarta Pusat,-6.213955,106.814376
40,Branch,KCP,KCP Sampoerna Strategic Square,"Gd. Sampoerna Strategic Square Tower A - Ground Floor, Jl. Jend. Sudirman Kav. 45-46",Jakarta Selatan,-6.216825,106.817843
41,Branch,KCP,KCP Plaza Sentral,Jl. Jend. Sudirman Kav.47,Jakarta Selatan,-6.216864,106.816482
42,Branch,KCP,KCP Raden Saleh,"Jl. Raden Saleh No. 13, 15, 17A",Jakarta Pusat,-6.190467,106.844052
43,Branch,KCP,KCP Tanah Abang 2,Jl. Tanah Abang II No. 49 & 51,Jakarta Pusat,-6.175651,106.814954
44,Branch,KCP,KCP Semanggi,"Wisma GKBI, Jl. Jend. Sudirman No. 28 Suite G 01",Jakarta Pusat,-6.217438,106.812883
45,Branch,KCP,KCP KS Tubun,"Gd.Graha Indramas Lt.dasar, Jl. AIP II KS Tubun Raya No. 77",Jakarta Barat,-6.200174,106.799838
46,Branch,KCP,KCP Abdul Muis,"Gedung Graha Motor City Level I Suite 101, Jl. Abdul Muis 24-26",Jakarta Pusat,-6.173697,106.820772
47,Branch,KCP,KCP Kwitang,Jl. Kwitang Raya No. 17,Jakarta Pusat,-6.180468,106.839989
48,Branch,KBNP,KBNP Universitas Atma Jaya,"Gedung G Lantai 1,  Jl. Jendral Sudirman 51",Jakarta Selatan,-6.219294,106.815492
49,Branch,KCP,KCP Wisma Barito,"Gedung Wisma Barito, Jl. Letjen S. Parman Kav. 62-63 Slipi",Jakarta Barat,-6.197868,106.798737
